Tanggal,Komoditas,Pasar,kategori_pasar,skor_saka_fuzzy,is_puncak_saka,rr_7,dry_streak,weather_impact_score,lag_7,relative_price,price_gap,price_velocity,price_volatility_7,is_weekend,Prediksi
2026-04-04,Telur Ayam Ras,PASAR NYANGGELAN,Lainnya,0,0,1975.411111111111,0,1975.411111111111,28800.0,0.9587217043941412,-1240.0,0.0,0.0,1,28799.819206797154
2026-04-04,Cabai Rawit Merah,PASAR KETAPIAN,Lainnya,0,0,1975.411111111111,0,5926.233333333334,70000.0,0.9369144284821986,-5050.0,1666.6666666666667,2609.3300362529912,1,65560.45875
2026-04-04,Telur Ayam Ras,Pasar Kreneng,Utara,0,0,1975.411111111111,0,1975.411111111111,28800.0,0.9587217043941412,-1240.0,0.0,0.0,1,28659.389970566914
2026-04-05,Cabai Rawit Merah,PASAR NYANGGELAN,Lainnya,0,0,1975.411111111111,0,5926.233333333334,68333.0,0.9577264209868832,-3384.0,2777.6666666666665,4066.087653939854,1,70312.505
2026-04-05,Telur Ayam Ras,Pasar Agung Peninjoan,Lainnya,0,0,1975.411111111111,0,1975.411111111111,28800.0,0.9587217043941412,-1240.0,0.0,0.0,1,28799.819206797154
2026-04-05,Bawang Merah,Kota Denpasar,Lainnya,0,0,1975.411111111111,0,1975.411111111111,41333.0,0.9000892657888864,-4477.0,-333.3333333333333,1345.1854182693737,1,39586.639946103365
2026-04-05,Bawang Merah,PASAR KETAPIAN,Lainnya,0,0,1975.411111111111,0,1975.411111111111,41666.0,0.9298370899352824,-3144.0,0.0,0.0,1,38680.34608247403
2026-04-05,Bawang Merah,PASAR NYANGGELAN,Lainnya,0,0,1975.411111111111,0,1975.411111111111,40000.0,0.8554563713456818,-6477.0,-555.6666666666666,813.4127108027697,1,38319.557753731504
2026-04-05,Bawang Merah,Pasar Agung Peninjoan,Lainnya,0,0,1975.411111111111,0,1975.411111111111,40000.0,0.8926578888640928,-4810.0,0.0,0.0,1,37981.15653025846
2026-04-05,Bawang Merah,Pasar Badung,Induk,0,0,1975.411111111111,0,1975.411111111111,41666.0,0.8926578888640928,-4810.0,-555.3333333333334,3020.827196709677,1,37300.175
2026-04-05,Bawang Merah,Pasar Kreneng,Utara,0,0,1975.411111111111,0,1975.411111111111,43333.0,0.9298370899352824,-3144.0,-555.6666666666666,3814.2867148207024,1,44683.195
2026-04-05,Cabai Merah Besar,Kota Denpasar,Lainnya,0,0,1975.411111111111,0,5926.233333333334,45600.0,0.924394829612221,-3217.0,-2089.0,3013.4876804128303,1,43312.59
